Study Hours,Attendance,Previous Mark,Internal Mark,Assignment Completion,Performance
1,68,72,35,93,Average
7,92,82,37,69,Good
6,50,80,48,100,Good
4,95,43,88,86,Good
4,77,85,62,79,Good
7,57,67,78,95,Good
1,65,54,60,71,Needs Improvement
6,78,66,45,83,Good
2,66,93,57,57,Average
1,55,87,40,98,Average
5,83,85,81,78,Good
8,84,63,46,87,Good
6,56,82,57,68,Good
7,64,58,94,92,Good
6,62,76,71,44,Good
7,83,74,62,46,Good
5,87,50,68,70,Good
2,87,51,82,84,Average
7,97,38,50,89,Good
4,89,43,73,66,Average
5,66,61,88,79,Good
3,55,64,69,73,Average
2,81,45,62,98,Average
8,96,60,43,79,Good
7,99,71,50,65,Good
6,61,49,92,99,Good
4,62,55,68,46,Average
7,51,57,53,100,Good
5,57,65,60,49,Average
4,78,57,70,57,Average
4,77,79,67,90,Good
2,68,54,77,84,Average
1,65,61,50,99,Average
5,92,58,74,85,Good
8,73,46,62,78,Good
1,91,76,92,61,Average
7,99,49,44,40,Good
7,66,53,44,47,Average
3,60,83,63,58,Average
6,98,92,66,42,Good
2,82,75,77,70,Average
7,64,90,59,87,Good
6,81,87,90,98,Excellent
3,76,64,63,69,Average
1,96,81,42,93,Average
8,63,55,42,100,Good
4,100,63,94,92,Good
8,97,67,43,68,Good
6,59,93,92,59,Good
7,58,86,51,99,Good
7,77,64,40,54,Good
2,52,74,53,65,Average
3,65,47,72,44,Average
4,72,84,61,88,Good
4,99,68,82,79,Good
1,100,67,72,45,Average
5,57,81,59,53,Average
2,95,73,73,73,Good
6,54,39,94,72,Good
6,88,52,60,88,Good
8,93,45,44,56,Good
6,95,79,59,96,Good
3,61,37,86,67,Average
8,95,47,48,90,Good
4,55,71,92,54,Good
3,76,77,70,42,Average
8,73,65,71,43,Good
3,66,87,54,62,Average
1,51,91,91,98,Average
4,89,43,37,42,Average
7,67,93,53,62,Good
2,83,72,60,46,Average
4,70,73,64,96,Good
2,69,40,63,81,Average
6,95,72,44,86,Good
4,54,79,48,83,Average
3,87,70,40,80,Average
2,88,40,69,87,Average
5,69,66,56,40,Average
6,63,92,69,92,Good
8,50,79,70,85,Good
4,97,43,77,85,Good
2,98,93,68,63,Good
7,62,93,74,88,Excellent
6,51,45,70,63,Average
6,56,83,74,42,Good
1,53,59,72,95,Average
3,92,71,54,54,Average
7,95,62,50,46,Good
7,57,82,83,77,Good
4,88,95,55,54,Good
7,59,83,68,92,Good
7,68,91,47,67,Good
4,80,92,61,40,Good
8,86,40,67,98,Good
3,94,50,73,71,Average
2,52,79,67,56,Average
6,60,70,57,81,Good
6,64,38,93,72,Good
2,65,40,66,41,Needs Improvement
7,100,66,84,86,Excellent
2,89,72,79,64,Average
7,66,45,69,82,Good
1,99,45,89,94,Average
7,75,42,42,77,Average
7,75,69,91,80,Excellent
7,72,35,86,55,Good
6,57,69,65,54,Good
4,97,64,79,65,Good
6,50,63,66,92,Good
3,58,76,51,71,Average
7,61,66,83,61,Good
5,64,79,50,87,Good
4,56,81,54,92,Average
5,50,91,66,95,Good
5,84,83,86,58,Good
1,99,66,58,83,Average
2,56,65,65,76,Average
2,65,49,37,67,Needs Improvement
1,75,71,42,64,Average
4,97,43,38,46,Average
6,85,91,39,56,Good
6,89,86,87,73,Excellent
4,79,42,86,94,Good
7,71,82,85,92,Excellent
5,60,42,38,51,Average
1,94,78,39,81,Average
7,91,40,52,45,Average
5,51,64,69,81,Average
6,86,75,55,60,Good
5,54,79,64,67,Good
5,87,60,45,83,Good
1,92,91,79,65,Good
